ko_id,initial_num_seqs,num_groups,num_ungrouped,final_num_seqs,description,ec_numbers
K00362,1147,98.0,123.0,220,assimilatory sulfite reductase (ferredoxin) [EC:1.8.7.1],['1.8.7.1']
K14581,71,2.0,0.0,2,Ferredoxin oxidoreductase protein,[]
K14583,8,1.0,8.0,8,"1,2-dihydroxynaphthalene dioxygenase [EC:1.13.11.56]",['1.13.11.56']
K14582,11,2.0,0.0,2,"3-(Cis-5,6-dihydroxycyclohexa-1, 3-dien-1-yl)propanoate dehydrogenase",[]
K00836,1427,109.0,142.0,250,Diaminobutyrate--2-oxoglutarate transaminase [EC:2.6.1.76],['2.6.1.76']
K00455,311,27.0,15.0,41,"Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B",[]
K09880,796,67.0,70.0,136,Enolase-phosphatase E1 [EC:3.1.3.77],['3.1.3.77']
K08964,967,78.0,116.0,193,Methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109],['4.2.1.109']
K10206,1448,117.0,175.0,291,"LL-diaminopimelate aminotransferase, chloroplastic",[]
K00152,6,1.0,6.0,6,Salicylaldehyde dehydrogenase,[]
K15757,7,1.0,7.0,7,Alkane 1-monooxygenase,[]
K15918,515,48.0,46.0,93,"D-glycerate 3-kinase, chloroplastic-like",[]
K14578,110,8.0,5.0,12,Ferredoxin component of salicylate 5-hydroxylase,[]
K15758,6,1.0,6.0,6,Xylene/toluene monooxygenase electron transfer component XylA [EC:1.18.1.3],['1.18.1.3']
K00363,1071,85.0,137.0,221,Nitrite reductase [NAD(P)H] small subunit [EC:1.7.1.4],['1.7.1.4']
K02501,4159,348.0,586.0,933,Imidazole glycerol phosphate synthase subunit HisH [EC:4.3.2.10],['4.3.2.10']
K00374,1289,110.0,130.0,239,Nitrate reductase-like protein NarX [EC:1.7.99.4],['1.7.99.4']
K14584,34,3.0,4.0,6,Bifunctional enzyme IspD/IspF [EC:2.7.7.60],['2.7.7.60']
K14585,33,3.0,0.0,3,Aldolase,[]
K15761,58,6.0,4.0,9,Toluene-4-monooxygenase subunit B,[]
K15763,70,6.0,3.0,8,Toluene monooxygenase,[]
K26138,749,68.0,73.0,140,Nitrite reductase small subunit NirD,[]
K15764,76,3.0,0.0,3,Toluene monooxygenase,[]
K00772,1546,139.0,177.0,315,Purine nucleoside phosphorylase [EC:2.4.2.1],['2.4.2.1']
K15760,91,7.0,5.0,11,propane 2-monooxygenase [EC:1.14.13.227],['1.14.13.227']
K18227,3,,,3,Pyridine nucleotide-disulfide oxidoreductase,[]
K02500,4179,329.0,633.0,961,Imidazole glycerol phosphate synthase subunit HisF [EC:4.3.2.10],['4.3.2.10']
K01438,2878,234.0,365.0,598,Acetylornithine deacetylase,[]
K08967,1242,102.0,133.0,234,Acireductone dioxygenase [EC:1.13.11.54],['1.13.11.54']
K01847,2537,180.0,365.0,544,Methylmalonyl-CoA mutase [EC:5.4.99.2],['5.4.99.2']
K16304,14,1.0,14.0,14,Ferredoxin subunit of nitrite reductase and ring-hydroxylating dioxygenase,[]
K15762,97,2.0,0.0,2,Putative Rieske (2Fe-2S) ferredoxin,[]
K05607,318,27.0,49.0,75,"Methylglutaconyl-CoA hydratase, mitochondrial isoform X1",[]
K10623,4,,,4,DNA helicase RuvA,[]
K15765,61,4.0,0.0,4,Toluene monooxygenase oxidoreductase,[]
K10620,30,2.0,0.0,2,Uncharacterized protein,[]
K07534,15,3.0,0.0,3,Enoyl-CoA hydratase/isomerase family protein,[]
K10619,64,5.0,7.0,11,p-cumate dioxygenase large subunit (CmtAb),[]
K10622,39,4.0,4.0,7,Class II aldolase and adducin N-terminal domain-containing protein 3,[]
K16303,67,7.0,2.0,8,Aromatic-ring-hydroxylating dioxygenase subunit beta,[]
K11517,696,59.0,62.0,120,FMN-dependent dehydrogenase,[]
K04112,39,2.0,0.0,2,"Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB [EC:1.3.7.8]",['1.3.7.8']
K04114,24,2.0,0.0,2,"Benzoyl-CoA reductase, bzd-type, subunit Q",[]
K10621,92,2.0,0.0,2,VOC domain-containing protein,[]
K19515,12,2.0,0.0,2,Tungsten-containing aldehyde:ferredoxin oxidoreductase,[]
K19516,11,1.0,11.0,11,Fe-S-cluster-containing hydrogenase components 2,[]
K04113,50,7.0,10.0,16,B-subunit of benzoyl-CoA reductase,[]
K04115,24,3.0,0.0,3,"Benzoyl-CoA reductase, subunit D",[]
K08689,14,2.0,0.0,2,"Benzene 1,2-dioxygenase",[]
K07538,29,2.0,0.0,2,Zinc-dependent alcohol dehydrogenase,[]
K07537,31,2.0,0.0,2,Putative enoyl-CoA hydratase echA8,[]
K04117,115,9.0,9.0,17,Cyclohexanecarboxyl-CoA dehydrogenase,[]
K07539,30,2.0,0.0,2,6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase,[]
K15750,12,1.0,12.0,12,"Benzene 1,2-dioxygenase [EC:1.14.12.3]",['1.14.12.3']
K18088,8,1.0,8.0,8,"Biphenyl 2,3-dioxygenase, ferredoxin reductase",[]
K10222,8,1.0,8.0,8,"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase",[]
K18087,14,2.0,0.0,2,3-phenylpropionate dioxygenase,[]
K15753,1,,,1,"Carbazole 1,9a-dioxygenase ferredoxin reductase subunit",[]
K08690,18,2.0,0.0,2,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",[]
K15752,5,,,5,Ferredoxin component of carbazole,[]
K15751,15,3.0,0.0,3,Carbazole dioxygenase,[]
K15754,8,1.0,8.0,8,Subunit of meta-cleavage enzyme,[]
K00462,23,2.0,0.0,2,"2,3-dihydroxybiphenyl 1,2-dioxygenase",[]
K15755,11,2.0,0.0,2,Extradiol ring-cleavage dioxygenase class III enzyme subunit B domain-containing protein,[]
K07536,115,14.0,7.0,20,"1,4-dihydroxy-2-naphthoyl-CoA synthase [EC:4.1.3.36]",['4.1.3.36']
K15756,13,2.0,0.0,2,Meta cleavage compound hydrolase,[]
K04116,176,15.0,7.0,21,Cyclohexanecarboxylate-CoA ligase,[]
K05709,40,2.0,0.0,2,3-phenylpropionate/cinnamic acid dioxygenase subunit beta [EC:1.14.12.19],['1.14.12.19']
K00620,3222,260.0,416.0,675,Arginine biosynthesis bifunctional protein ArgJ [EC:2.3.1.35],['2.3.1.35']
K26139,1053,85.0,107.0,191,NAD(P)/FAD-dependent oxidoreductase,[]
K11381,893,76.0,89.0,164,Putative oxidoreductase,[]
K00502,287,30.0,14.0,43,tryptophan 5-monooxygenase [EC:1.14.16.4],['1.14.16.4']
K09011,338,33.0,9.0,41,HMGL-like protein,[]
K05708,70,4.0,0.0,4,Aromatic ring-hydroxylating dioxygenase subunit alpha,[]
K00669,209,20.0,13.0,32,Serotonin N-acetyltransferase,[]
K05711,65,7.0,4.0,10,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",[]
K00151,549,54.0,27.0,80,2-hydroxymuconic semialdehyde dehydrogenase,[]
K00252,2707,219.0,323.0,541,Acyl-CoA dehydrogenase,[]
K01611,2270,180.0,287.0,466,S-adenosylmethionine decarboxylase proenzyme [EC:4.1.1.50],['4.1.1.50']
K08963,2209,172.0,259.0,430,5-deoxyribose 1-phosphate isomerase [EC:5.3.1.-],['5.3.1.-']
K14263,56,2.0,0.0,2,Kynurenine formamidase [EC:3.5.1.9],['3.5.1.9']
K00543,162,15.0,8.0,22,Acetylserotonin O-methyltransferase-like,[]
K00600,6781,488.0,933.0,1420,Serine hydroxymethyltransferase [EC:2.1.2.1],['2.1.2.1']
K00013,4169,307.0,519.0,825,Histidinol dehydrogenase [EC:1.1.1.23],['1.1.1.23']
K01243,2694,207.0,363.0,569,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase [EC:3.2.2.9],['3.2.2.9']
K00930,3800,300.0,496.0,795,Acetylglutamate kinase [EC:2.7.2.8],['2.7.2.8']
K00463,507,43.0,53.0,95,"Indoleamine 2,3-dioxygenase",[]
K00145,4017,314.0,513.0,826,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],['1.2.1.38']
K00128,7704,573.0,1309.0,1881,Aldehyde dehydrogenase family protein,[]
K00141,422,39.0,40.0,78,Aldehyde dehydrogenase family protein,[]
K01968,1435,108.0,138.0,245,"3-methylcrotonoyl-CoA carboxylase, alpha subunit [EC:6.4.1.4]",['6.4.1.4']
K00253,1504,114.0,160.0,273,Isovaleryl-CoA dehydrogenase [EC:1.3.8.4],['1.3.8.4']
K13064,9,1.0,9.0,9,Phenylalanine ammonia-lyase [EC:4.3.1.24],['4.3.1.24']
K00372,1334,112.0,179.0,290,NagC family transcriptional regulator,[]
K13480,59,7.0,2.0,8,Xanthine dehydrogenase iron-sulfur binding subunit,[]
K05921,668,54.0,56.0,109,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.1.112],['4.1.1.112']
K00055,561,49.0,61.0,109,Aryl-alcohol dehydrogenase,[]
K00087,201,19.0,19.0,37,"Xanthine dehydrogenase, molybdenum binding subunit [EC:1.17.1.4]",['1.17.1.4']
K01697,1766,139.0,258.0,396,Cystathionine beta-synthase [EC:4.2.1.22],['4.2.1.22']
K05713,272,25.0,30.0,54,"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase [EC:1.13.11.16]",['1.13.11.16']
K16838,47,5.0,3.0,7,Urate oxidase,[]
K13479,223,21.0,9.0,29,Carbon monoxide dehydrogenase,[]
K01826,860,73.0,101.0,173,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,[]
K00733,186,19.0,25.0,43,"Beta-1,4-N-acetylgalactosaminyltransferase [EC:2.4.1.-]",['2.4.1.-']
K10158,180,18.0,7.0,24,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase [EC:2.4.1.135],['2.4.1.135']
K00894,490,37.0,52.0,88,Ethanolamine kinase-like Protein,[]
K13766,1221,102.0,161.0,262,Putative enoyl-CoA hydratase,[]
K00731,510,45.0,66.0,110,Uncharacterized protein [EC:2.4.-.-],['2.4.-.-']
K23234,146,14.0,7.0,20,NAD-dependent aldehyde dehydrogenase,[]
K02368,67,9.0,5.0,13,Exostosin like glycosyltransferase 1,[]
K00967,477,38.0,63.0,100,ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14],['2.7.7.14']
K02370,191,17.0,9.0,25,,[]
K02367,177,19.0,12.0,30,Exostosin-2,[]
K01593,1034,85.0,126.0,210,"3,4-dihydroxyphenylacetaldehyde synthase 2-like",[]
K01692,1867,153.0,250.0,402,,[]
K00486,631,55.0,62.0,116,Kynurenine 3-monooxygenase [EC:1.14.13.9],['1.14.13.9']
K00771,283,32.0,26.0,57,protein xylosyltransferase [EC:2.4.2.26],['2.4.2.26']
K00968,661,53.0,81.0,133,,[]
K00487,174,2.0,0.0,2,Trans-cinnamate 4-monooxygenase,[]
K04710,117,13.0,17.0,29,Ceramide synthase 1-like,[]
K09754,108,13.0,2.0,14,Cytochrome P450 98A2-like isoform X1,[]
K03526,3828,272.0,473.0,744,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) [EC:1.17.7.3],['1.17.7.3']
K07130,685,60.0,88.0,147,Kynurenine formamidase [EC:3.5.1.9],['3.5.1.9']
K09755,110,13.0,9.0,21,Ferulate 5-hydroxylase,[]
K00998,429,43.0,49.0,91,CDP-diacylglycerol--serine O-phosphatidyltransferase [EC:2.7.8.8],['2.7.8.8']
K01432,836,79.0,83.0,161,Esterase,[]
K00993,544,48.0,75.0,122,CDPalcohol phosphatidyltransferase superfamily protein,[]
K09753,168,13.0,4.0,16,Cinnamoyl-CoA reductase 2-like,[]
K24622,105,11.0,8.0,18,Ceramide synthase 3,[]
K15849,103,2.0,0.0,2,"Aspartate aminotransferase, putative [EC:2.6.1.1]",['2.6.1.1']
K22395,136,15.0,1.0,15,Reticuline oxidase-like protein,[]
K10775,430,39.0,30.0,68,Phenylalanine ammonia-lyase [EC:4.3.1.24],['4.3.1.24']
K10217,526,52.0,50.0,101,Betaine-aldehyde dehydrogenase [EC:1.2.1.8],['1.2.1.8']
K00588,305,28.0,18.0,45,Caffeoyl-CoA O-methyltransferase-like,[]
K00647,2339,187.0,288.0,474,3-oxoacyl-ACP synthase [EC:2.3.1.41],['2.3.1.41']
K00099,3770,295.0,545.0,839,1-deoxy-D-xylulose 5-phosphate reductoisomerase [EC:1.1.1.267],['1.1.1.267']
K00452,644,52.0,69.0,120,"3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]",['1.13.11.6']
K15227,146,18.0,6.0,23,"Arogenate dehydrogenase 1, chloroplastic-like",[]
K00431,83,6.0,14.0,19,Thyroid peroxidase,[]
K00083,300,32.0,21.0,52,Probable cinnamyl alcohol dehydrogenase 9,[]
K00553,95,7.0,0.0,7,Phenylethanolamine N-methyltransferase,[]
K13066,354,28.0,30.0,57,(rape) hypothetical protein,[]
K03392,731,61.0,90.0,150,Amidohydrolase-related domain-containing protein,[]
K00966,1958,159.0,281.0,439,GDP-mannose pyrophosphorylase,[]
K01051,2943,241.0,387.0,627,Pectinesterase [EC:3.1.1.11],['3.1.1.11']
K04709,264,26.0,27.0,52,TLC domain-containing protein,[]
K09699,2289,176.0,239.0,414,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex [EC:2.3.1.-],['2.3.1.-']
K02551,1680,113.0,238.0,350,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9],['2.2.1.9']
K00503,159,16.0,3.0,18,Dopamine beta-hydroxylase,[]
K00501,208,22.0,19.0,40,Tyrosine 3-monooxygenase isoform X1,[]
K00602,4590,330.0,583.0,912,Bifunctional purine biosynthesis protein PurH [EC:2.1.2.3],['2.1.2.3']
K02576,123,9.0,7.0,15,[heparan sulfate]-glucosamine N-sulfotransferase [EC:2.8.2.8],['2.8.2.8']
K02578,95,6.0,0.0,6,[heparan sulfate]-glucosamine N-sulfotransferase [EC:2.8.2.8],['2.8.2.8']
K02579,101,6.0,4.0,9,[heparan sulfate]-glucosamine N-sulfotransferase [EC:2.8.2.8],['2.8.2.8']
K00167,2301,178.0,247.0,424,,[]
K02366,252,27.0,14.0,40,Exostosin glycosyltransferase 1,[]
K07516,2058,152.0,231.0,382,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],['1.1.1.35']
K13273,168,19.0,19.0,37,Phosphomevalonate kinase [EC:2.7.4.2],['2.7.4.2']
K01923,4521,359.0,609.0,967,Phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],['6.3.2.6']
K24621,278,25.0,34.0,58,Ceramide synthase 2,[]
K23727,303,19.0,25.0,43,Ceramide synthase 5,[]
K00797,3603,264.0,434.0,697,Spermidine synthase,[]
K04708,519,49.0,52.0,100,Uncharacterized protein,[]
K00648,6867,547.0,963.0,1509,3-oxoacyl-ACP synthase,[]
K02577,191,12.0,15.0,26,[heparan sulfate]-glucosamine N-sulfotransferase [EC:2.8.2.8],['2.8.2.8']
K17463,53,2.0,0.0,2,2-dehydro-3-deoxy-phosphogluconate aldolase,[]
K00570,1004,78.0,118.0,195,Putative phospholipid N-methyltransferase protein,[]
K01793,235,19.0,25.0,43,heparosan-N-sulfate-glucuronate 5-epimerase [EC:5.1.3.17],['5.1.3.17']
K04712,610,60.0,58.0,117,Sphingolipid delta(4)-desaturase DES1-like [EC:1.14.19.17],['1.14.19.17']
K02560,342,33.0,23.0,55,Lipid A biosynthesis acyltransferase [EC:2.3.1.243],['2.3.1.243']
K00938,591,56.0,67.0,122,Phosphomevalonate kinase [EC:2.7.4.2],['2.7.4.2']
K00166,2364,187.0,308.0,494,Pyruvate dehydrogenase (Acetyl-transferring) E1 component subunit alpha,[]
K03334,174,8.0,4.0,11,Amine oxidase [EC:1.4.3.-],['1.4.3.-']
K03527,3866,312.0,594.0,905,4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.7.4],['1.17.7.4']
K13065,735,67.0,40.0,106,Vinorine synthase-like,[]
K00220,480,44.0,60.0,103,Cyclohexadienyl dehydrogenase,[]
K00654,994,86.0,116.0,201,Serine palmitoyltransferase long chain base subunit 3,[]
K00254,3512,251.0,444.0,694,Dihydroorotate dehydrogenase (quinone) [EC:1.3.5.2],['1.3.5.2']
K05810,3562,281.0,487.0,767,Purine nucleoside phosphorylase,[]
K13990,180,15.0,12.0,26,Formimidoyltransferase-cyclodeaminase [EC:2.1.2.5],['2.1.2.5']
K01963,3158,238.0,380.0,617,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta [EC:2.1.3.15],['2.1.3.15']
K00603,218,17.0,14.0,30,glutamate formimidoyltransferase [EC:2.1.2.5],['2.1.2.5']
K00453,1537,130.0,151.0,280,"Tryptophan 2,3-dioxygenase [EC:1.13.11.11]",['1.13.11.11']
K01962,3214,250.0,425.0,674,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha [EC:2.1.3.15],['2.1.3.15']
K00019,2413,185.0,309.0,493,SDR family oxidoreductase,[]
K01756,5036,373.0,634.0,1006,Adenylosuccinate lyase [EC:4.3.2.2],['4.3.2.2']
K02293,237,20.0,10.0,29,"15-cis-phytoene desaturase, chloroplastic/chromoplastic [EC:1.3.5.5]",['1.3.5.5']
K15744,183,19.0,5.0,23,NnrU family protein,[]
K08323,704,66.0,94.0,159,D-galactonate dehydratase family protein,[]
K09835,177,18.0,17.0,34,prolycopene isomerase [EC:5.2.1.13],['5.2.1.13']
K00514,207,23.0,22.0,44,,[]
K01969,2296,178.0,302.0,479,Methylcrotonoyl-CoA carboxylase,[]
K13534,86,9.0,3.0,11,Patatin-like phospholipase domain-containing protein 2,[]
K21344,588,59.0,73.0,131,"ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase",[]
K00627,5506,419.0,834.0,1252,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex [EC:2.3.1.-],['2.3.1.-']
K16839,156,14.0,10.0,23,FAD-binding domain-containing protein,[]
K13484,101,9.0,5.0,13,Uric acid degradation bifunctional protein TTL-like,[]
K01597,1058,92.0,121.0,212,Diphosphomevalonate decarboxylase [EC:4.1.1.33],['4.1.1.33']
K00040,1130,93.0,119.0,211,Mannitol dehydrogenase family protein,[]
K12506,838,75.0,93.0,167,Bifunctional enzyme IspD/IspF [EC:2.7.7.60],['2.7.7.60']
K00021,1086,93.0,98.0,190,3-hydroxy-3-methylglutaryl coenzyme A reductase [EC:1.1.1.34],['1.1.1.34']
K00925,3928,309.0,637.0,945,Acetate kinase [EC:2.7.2.1],['2.7.2.1']
K12298,145,4.0,0.0,4,Carboxylic ester hydrolase [EC:3.1.1.-],['3.1.1.-']
K01940,4510,351.0,504.0,854,Argininosuccinate synthase [EC:6.3.4.5],['6.3.4.5']
K00609,4511,332.0,636.0,967,Aspartate carbamoyltransferase [EC:2.1.3.2],['2.1.3.2']
K16816,172,14.0,11.0,24,Patatin-like phospholipase domain-containing protein 2,[]
K07535,739,69.0,77.0,145,Short-chain dehydrogenase,[]
K05714,562,45.0,40.0,84,2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase [EC:3.7.1.14],['3.7.1.14']
K00208,3204,221.0,303.0,523,enoyl-[acyl-carrier-protein] reductase (NADH) [EC:1.3.1.9],['1.3.1.9']
K14076,56,6.0,7.0,12,Triacylglycerol lipase [EC:3.1.1.3],['3.1.1.3']
K14075,92,2.0,0.0,2,Triacylglycerol lipase [EC:3.1.1.3],['3.1.1.3']
K22283,108,11.0,9.0,19,Hepatic triacylglycerol lipase [EC:3.1.1.3],['3.1.1.3']
K14074,132,13.0,12.0,24,Lipase domain-containing protein,[]
K14452,94,7.0,1.0,7,Lipase,[]
K14675,89,2.0,0.0,2,PNPLA domain-containing protein,[]
K22284,127,14.0,11.0,24,"Lipase G, endothelial type",[]
K17900,136,13.0,20.0,32,Uncharacterized protein,[]
K00106,571,50.0,77.0,126,Xanthine dehydrogenase 1 [EC:1.17.1.4],['1.17.1.4']
K14073,288,30.0,15.0,44,PLAT domain-containing protein,[]
K03268,3,,,3,Large terminal subunit of phenylpropionate dioxygenase [EC:1.14.1.-],['1.14.1.-']
K16268,2,,,2,"Chlorobenzene dioxygenase, small subunit of terminal oxygenase",[]
K18089,3,,,3,"Chlorobenzene dioxygenase, ferredoxin",[]
K18090,3,,,3,"Chlorobenzene dioxygenase, NADH-ferredoxin reductase",[]
K16269,3,,,3,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.-]",['1.3.1.-']
K01956,4770,374.0,670.0,1043,Carbamoyl-phosphate synthase small chain [EC:6.3.5.5],['6.3.5.5']
K04073,713,68.0,69.0,136,Acetaldehyde dehydrogenase [EC:1.2.1.10],['1.2.1.10']
K00869,1357,109.0,181.0,289,Mevalonate kinase,[]
K22879,484,41.0,40.0,80,NAD(P)/FAD-dependent oxidoreductase,[]
K16249,115,12.0,2.0,13,Phenol 2-monooxygenase P0 subunit [EC:1.14.13.7],['1.14.13.7']
K16243,141,14.0,20.0,33,Phenol hydroxylase,[]
K25824,158,13.0,20.0,32,GH07444p,[]
K16242,144,13.0,11.0,23,Phenol hydroxylase P3 protein PoxD [EC:1.14.13.7],['1.14.13.7']
K12348,157,14.0,13.0,26,ceramidase [EC:3.5.1.23],['3.5.1.23']
K16244,136,15.0,8.0,22,Phenol hydroxylase P2 protein [EC:1.14.13.7],['1.14.13.7']
K01812,1360,115.0,118.0,232,Uronate isomerase [EC:5.3.1.12],['5.3.1.12']
K01755,4843,365.0,691.0,1055,Argininosuccinate lyase,[]
K21345,621,58.0,66.0,123,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70],['2.7.7.70']
K07553,105,10.0,7.0,16,"Beta-1,4-galactosyltransferase [EC:2.4.1.-]",['2.4.1.-']
K13482,921,79.0,93.0,171,Xanthine dehydrogenase molybdopterin binding subunit,[]
K00611,4783,379.0,736.0,1114,"Ornithine carbamoyltransferase, catabolic [EC:2.1.3.3]",['2.1.3.3']
K00942,5002,387.0,656.0,1042,guanylate kinase [EC:2.7.4.8],['2.7.4.8']
K09905,92,7.0,3.0,9,"Beta-1,4-galactosyltransferase [EC:2.4.1.-]",['2.4.1.-']
K00365,706,65.0,85.0,149,Uricase [EC:1.7.3.3],['1.7.3.3']
K00207,263,24.0,34.0,57,Dihydropyrimidine dehydrogenase [NADP(+)] [EC:1.3.1.2],['1.3.1.2']
K00542,131,12.0,15.0,26,Guanidinoacetate N-methyltransferase [EC:2.1.1.2],['2.1.1.2']
K00613,331,29.0,23.0,51,Amidinotransferase,[]
K01961,4001,303.0,527.0,829,Biotin carboxylase [EC:6.3.4.14],['6.3.4.14']
K13481,938,80.0,151.0,230,Molybdopterin dehydrogenase,[]
K16245,127,10.0,23.0,32,Phenol hydroxylase,[]
K01441,252,24.0,22.0,45,Alkaline ceramidase [EC:3.5.1.-],['3.5.1.-']
K01686,1445,111.0,197.0,307,Mannonate dehydratase [EC:4.2.1.8],['4.2.1.8']
K16246,137,7.0,9.0,15,2Fe-2S iron-sulfur cluster binding domain-containing protein,[]
K00719,72,4.0,5.0,8,Hexosyltransferase [EC:2.4.1.-],['2.4.1.-']
K13485,613,60.0,67.0,126,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97],['4.1.1.97']
K04628,170,17.0,9.0,25,2-hydroxyacylsphingosine 1-beta-galactosyltransferase [EC:2.4.1.47],['2.4.1.47']
K03370,96,6.0,0.0,6,Uncharacterized protein,[]
K06443,725,66.0,75.0,140,Lycopene beta cyclase [EC:5.5.1.19],['5.5.1.19']
K01666,1019,86.0,112.0,197,4-hydroxy-2-oxovalerate aldolase [EC:4.1.3.39],['4.1.3.39']
K05710,1179,91.0,145.0,235,"Benzene 1,2-dioxygenase system ferredoxin subunit",[]
K16840,677,61.0,64.0,124,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,[]
K01904,1269,108.0,168.0,275,AMP binding protein,[]
K15779,182,17.0,17.0,33,"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent) [EC:5.4.2.2]",['5.4.2.2']
K02160,4113,310.0,630.0,939,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,[]
K01852,221,17.0,21.0,37,Lanosterol synthase erg7 [EC:5.4.99.7],['5.4.99.7']
K02554,1285,117.0,187.0,303,"2-hydroxypenta-2,4-dienoate hydratase",[]
K19532,169,17.0,4.0,20,Delta(14)-sterol reductase LBR [EC:1.3.1.70],['1.3.1.70']
K13373,115,14.0,21.0,34,Hydroxysteroid (17-beta) dehydrogenase 7,[]
K01556,1738,146.0,236.0,381,Kynureninase [EC:3.7.1.3],['3.7.1.3']
K13713,24,3.0,0.0,3,Multifunctional fusion protein [EC:6.3.4.13],['6.3.4.13']
K00222,326,28.0,24.0,51,Pc21g22280 protein,[]
K07750,283,28.0,41.0,68,Methylsterol monooxygenase 1,[]
K16171,812,64.0,108.0,171,Fumarylacetoacetate hydrolase,[]
K11788,102,2.0,0.0,2,ATP-grasp domain-containing protein,[]
K01939,5328,395.0,633.0,1027,Adenylosuccinate synthetase [EC:6.3.4.4],['6.3.4.4']
K05712,1380,120.0,106.0,225,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase [EC:1.14.13.127],['1.14.13.127']
K12349,567,54.0,74.0,127,Neutral ceramidase [EC:3.5.1.23],['3.5.1.23']
K05603,683,58.0,74.0,131,Formimidoylglutamate deiminase [EC:3.5.3.13],['3.5.3.13']
K03476,233,20.0,19.0,38,Ascorbate 6-phosphate lactonase,[]
K17722,575,54.0,51.0,104,Dihydropyrimidine dehydrogenase subunit A,[]
K04718,534,40.0,56.0,95,DAGKc domain-containing protein,[]
K07748,315,31.0,26.0,56,3-beta hydroxysteroid dehydrogenase/isomerase domain-containing protein,[]
K01824,287,27.0,24.0,50,Ebp-prov protein,[]
K11787,182,18.0,16.0,33,Trifunctional purine biosynthetic protein adenosine-3 [EC:6.3.4.13],['6.3.4.13']
K09827,110,12.0,6.0,17,3-ketosteroid reductase,[]
K01492,89,6.0,0.0,6,phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],['2.1.2.2']
K03272,1187,104.0,104.0,207,Bifunctional protein HldE [EC:2.7.1.167],['2.7.1.167']
K03371,105,10.0,14.0,23,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",[]
K03369,101,7.0,2.0,8,"Alpha-2,8-sialyltransferase 8E",[]
K01458,685,59.0,76.0,134,N-formylglutamate deformylase,[]
K09828,341,30.0,28.0,57,FAD-binding protein,[]
K00601,184,18.0,14.0,31,phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],['2.1.2.2']
K00297,3734,274.0,465.0,738,Methylenetetrahydrofolate reductase [EC:1.5.1.54],['1.5.1.54']
K05917,544,47.0,48.0,94,Cytochrome P450,[]
K17723,649,58.0,56.0,113,Dihydrothymine dehydrogenase,[]
K09829,134,13.0,17.0,29,C-8 sterol isomerase [EC:5.-.-.-],['5.-.-.-']
K09831,129,10.0,1.0,10,Cytochrome 61,[]
K01477,854,76.0,86.0,161,Allantoate amidinohydrolase,[]
K00213,272,27.0,26.0,52,7-dehydrocholesterol reductase,[]
K00940,5182,382.0,776.0,1157,Nucleoside diphosphate kinase [EC:2.7.4.6],['2.7.4.6']
K03766,154,17.0,15.0,31,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase [EC:2.4.1.206]",['2.4.1.206']
K01019,338,32.0,28.0,59,Galactosylceramide sulfotransferase,[]
